top_level_source,relative_path,filename,extension,mime_type,size_bytes,modified_time_utc,sha256,is_archive,is_readable,content_type,suspected_duplicate,suspected_data,suspected_document,suspected_model_weight,suspected_sensitive,recommendation
upload,Homo sapiens.fasta,Homo sapiens.fasta,.fasta,application/octet-stream,49231614,2026-07-15T02:25:53.998830+00:00,16bc120a8f68d7c6e6d0fa7c2d4446484029f72a95896a0285b015356e5a68f7,False,True,fasta,False,True,False,False,False,review
upload,PhosphoSitePlus(2).zip,PhosphoSitePlus(2).zip,.zip,application/zip,91113,2026-07-15T02:25:51.290760+00:00,edce65873a26bea8623b48268c0ffed584116989f8b2adfcf481fff7f5944256,True,True,archive,False,False,False,False,False,exclude_from_git
upload,uniprotkb_cc_ptm_Phosphorylation_AND_ke_2025_03_25.xlsx(2).gz,uniprotkb_cc_ptm_Phosphorylation_AND_ke_2025_03_25.xlsx(2).gz,.gz,application/octet-stream,222005,2026-07-15T02:25:51.306760+00:00,179349774dd677b6b98bdf7a9dfb81ca45301833b93bc6ec06bd16dd70c23ee0,True,True,archive,False,False,False,False,False,exclude_from_git
